gen,nevals,avg,min,max
0,150,0.434850429373764,0.2988844542906721,0.6336824718383572
1,100,0.49324900044530806,0.3419569565509689,0.6336824718383572
2,104,0.5358826473745464,0.39961221037654027,0.6527292515561101
3,92,0.5732756660390217,0.40434771461745866,0.6527292515561101
4,107,0.5927359899678885,0.34431362061434245,0.6730359255820496
5,89,0.6087752983022255,0.39988394757810153,0.6730359255820496
6,89,0.6207365628829633,0.4651251459346894,0.6972908379357635
7,101,0.6287290815991525,0.46559756049075846,0.7047328502170752
8,99,0.6410825427063944,0.4660706599225461,0.709561871577212
9,90,0.6451029340140962,0.40546795120238577,0.7098237652763236
10,100,0.6530274474496427,0.48805945300002007,0.7166296607163722
11,89,0.6661805621154159,0.5071752010677253,0.7251144441396039
12,106,0.6693867787745432,0.4502333036940329,0.7429599776851523
13,102,0.68227846208748,0.5544027250966106,0.7429599776851523
14,94,0.681467293570938,0.5320203029815425,0.7318683641586766
15,96,0.6866995865541,0.5090992622778379,0.7272936365033346
16,92,0.690352215798701,0.4446197283599156,0.7313948078756257
17,91,0.6981727140942734,0.551094905377063,0.7390091034133685
18,100,0.6963368189837428,0.5440336927711631,0.7390091034133685
19,97,0.6983667653032097,0.5562582917779596,0.7309661065822524
20,104,0.6996806406104765,0.522453868253592,0.7313748888141368
21,100,0.6904697303190378,0.5034388339273729,0.7313748888141368
22,96,0.6964663851001323,0.5072681317805033,0.740629353628223
23,103,0.7007862974628082,0.5649572793077193,0.740629353628223
24,107,0.6927697819875718,0.5401073824948239,0.7442862964638669
25,96,0.7026889999514165,0.530866781683407,0.7498831384190539
26,97,0.699507236463555,0.5224264633419666,0.7498831384190539
27,93,0.7052946997848407,0.5432994458255994,0.7459326465341523
28,83,0.7073939761330374,0.5562099126907607,0.7459326465341523
29,112,0.7009519097534908,0.4478044985925001,0.7456238692556351
30,100,0.7047544554206494,0.49680388162628836,0.7456238692556351
31,106,0.69988920621503,0.5014715484976444,0.7455522181574565
32,93,0.7092586917984925,0.4714167285764166,0.7485463551783862
33,104,0.7075342662185212,0.494138571551676,0.7485463551783862
34,97,0.7135982641802013,0.5157880321475629,0.7545957451671211
35,110,0.7138111441184058,0.49995438626687766,0.7548040833172679
36,98,0.7122014899014676,0.4855807004884369,0.7548040833172679
37,87,0.7164565576593804,0.5739050307348013,0.7548040833172679
38,96,0.7119829916284419,0.5676641985442002,0.7548040833172679
39,111,0.7101233081250018,0.522822204615788,0.7549780881277919
40,93,0.7138917100712483,0.4464997218386384,0.7548040833172679
41,84,0.7197322204197425,0.5838398015488964,0.7548040833172679
42,99,0.7125769595877334,0.4685585627217031,0.7548040833172679
43,85,0.7227112784661985,0.5413260970138292,0.7548040833172679
44,102,0.7174738728641133,0.49343430833998,0.7548040833172679
45,97,0.7190321090983294,0.5304370464741156,0.7548040833172679
46,93,0.7182686702333168,0.5041395254830434,0.7548040833172679
47,93,0.7178925965883871,0.4851126811796736,0.7548040833172679
48,107,0.7149629474787292,0.5373027126257884,0.7548040833172679
49,103,0.7132545859304703,0.5225494420997292,0.7537558162050088
50,87,0.7148934410216896,0.517201746984068,0.7541462828080318
51,91,0.7234275689764573,0.5598419835336197,0.7541462828080318
52,99,0.7176816325969746,0.5238849828355252,0.7522931401388386
53,105,0.7098349598243097,0.44066433531519067,0.7534042120375332
54,94,0.7140085713426285,0.4967348069710565,0.7535035186850753
55,101,0.7217344298425474,0.47435799702325654,0.7522931401388386
56,103,0.6993404715415809,0.4960651914830872,0.7522931401388386
57,85,0.719381816405395,0.5581578416070206,0.7526888588550525
58,82,0.7190251743828873,0.5026902998373066,0.754073784862783
59,101,0.716656173184393,0.5502389858731085,0.754073784862783
60,89,0.7207720756101736,0.4743699350546021,0.7554814301730033
61,101,0.7250069860193594,0.5712928793909167,0.7550054872351198
62,99,0.7224654092244993,0.49250129017039485,0.7548641308777311
63,101,0.7195109513538285,0.4941472118241644,0.753950584683948
64,102,0.7174791081111869,0.5173959264687671,0.753950584683948
65,94,0.7158959101057132,0.5140557595974962,0.753950584683948
66,95,0.7131316353267091,0.48134162931123153,0.753950584683948
67,95,0.7164883778985754,0.5009606678798899,0.7549029353358552
68,99,0.7186818862962284,0.5370911713536128,0.753950584683948
69,93,0.7202732258495202,0.5246234632114138,0.753950584683948
70,93,0.7146979812949629,0.4767221303417973,0.7556856294101175
